severity,kind,image,label_file,line_no,detail
info,small_box,/workspace/data/road_anamolies_yolov8-phref-v6/train/images/Pothole_532_jpg.rf.2b2d294b9de1ff4448f8fe39311a02dc.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/train/labels/Pothole_532_jpg.rf.2b2d294b9de1ff4448f8fe39311a02dc.txt,5,Box area = 0.085% (typical for distant objects)
warn,huge_box,/workspace/data/road_anamolies_yolov8-phref-v6/train/images/Pothole_577_jpg.rf.6968e9ca59de3adf2ab2d0b9b56f55bd.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/train/labels/Pothole_577_jpg.rf.6968e9ca59de3adf2ab2d0b9b56f55bd.txt,1,Box covers 97.2% of image (likely a misclick)
info,small_box,/workspace/data/road_anamolies_yolov8-phref-v6/train/images/Pothole_81_jpg.rf.ed3a8319b59828c30be63a55b5ec939e.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/train/labels/Pothole_81_jpg.rf.ed3a8319b59828c30be63a55b5ec939e.txt,6,Box area = 0.092% (typical for distant objects)
info,small_box,/workspace/data/road_anamolies_yolov8-phref-v6/train/images/Pothole_868_jpg.rf.bbd6f9f19c267c12712639c53367dada.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/train/labels/Pothole_868_jpg.rf.bbd6f9f19c267c12712639c53367dada.txt,4,Box area = 0.091% (typical for distant objects)
info,small_box,/workspace/data/road_anamolies_yolov8-phref-v6/train/images/Pothole_965_jpg.rf.cae77afcc390095265633d5f6e9bb77a.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/train/labels/Pothole_965_jpg.rf.cae77afcc390095265633d5f6e9bb77a.txt,10,Box area = 0.087% (typical for distant objects)
warn,huge_box,/workspace/data/road_anamolies_yolov8-phref-v6/valid/images/110_jpg.rf.c26584fb91118019e55974e0d13a1290.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/valid/labels/110_jpg.rf.c26584fb91118019e55974e0d13a1290.txt,1,Box covers 91.9% of image (likely a misclick)
info,small_box,/workspace/data/road_anamolies_yolov8-phref-v6/valid/images/Pothole_1002_jpg.rf.f57fc4e9c71c8a96e0ef96372180a1e8.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/valid/labels/Pothole_1002_jpg.rf.f57fc4e9c71c8a96e0ef96372180a1e8.txt,7,Box area = 0.083% (typical for distant objects)
info,small_box,/workspace/data/road_anamolies_yolov8-phref-v6/valid/images/Pothole_1095_jpg.rf.6723344366faef23ef70ae4398d9a285.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/valid/labels/Pothole_1095_jpg.rf.6723344366faef23ef70ae4398d9a285.txt,15,Box area = 0.045% (typical for distant objects)
warn,huge_box,/workspace/data/road_anamolies_yolov8-phref-v6/valid/images/Pothole_1340_jpg.rf.c3784993f349092051011f7a180dd71a.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/valid/labels/Pothole_1340_jpg.rf.c3784993f349092051011f7a180dd71a.txt,1,Box covers 94.1% of image (likely a misclick)
info,small_box,/workspace/data/road_anamolies_yolov8-phref-v6/valid/images/Pothole_13_jpg.rf.5ef19f11816c33ccb195c929b06bd114.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/valid/labels/Pothole_13_jpg.rf.5ef19f11816c33ccb195c929b06bd114.txt,6,Box area = 0.097% (typical for distant objects)
info,small_box,/workspace/data/road_anamolies_yolov8-phref-v6/valid/images/Pothole_1561_jpg.rf.372a9b45f0e87a5a21d19ec37bbde5ef.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/valid/labels/Pothole_1561_jpg.rf.372a9b45f0e87a5a21d19ec37bbde5ef.txt,14,Box area = 0.061% (typical for distant objects)
info,small_box,/workspace/data/road_anamolies_yolov8-phref-v6/valid/images/Pothole_349_jpg.rf.a4226a07e220e944362e33750db135ea.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/valid/labels/Pothole_349_jpg.rf.a4226a07e220e944362e33750db135ea.txt,11,Box area = 0.090% (typical for distant objects)
warn,huge_box,/workspace/data/road_anamolies_yolov8-phref-v6/test/images/118_jpg.rf.8a71aac57a8315906b0e03f257945bdf.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/test/labels/118_jpg.rf.8a71aac57a8315906b0e03f257945bdf.txt,1,Box covers 97.5% of image (likely a misclick)
warn,huge_box,/workspace/data/road_anamolies_yolov8-phref-v6/test/images/IMG-20240629-WA0051_jpg.rf.7179029942a66279964bdd4a63a07d8f.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/test/labels/IMG-20240629-WA0051_jpg.rf.7179029942a66279964bdd4a63a07d8f.txt,1,Box covers 93.8% of image (likely a misclick)
info,small_box,/workspace/data/road_anamolies_yolov8-phref-v6/test/images/Pothole_1112_jpg.rf.cd237f163f857767b2a97857b78f257d.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/test/labels/Pothole_1112_jpg.rf.cd237f163f857767b2a97857b78f257d.txt,10,Box area = 0.099% (typical for distant objects)
warn,heavy_overlap,/workspace/data/road_anamolies_yolov8-phref-v6/test/images/Pothole_1356_jpg.rf.5a707fd342ff0606c4328673b93294aa.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/test/labels/Pothole_1356_jpg.rf.5a707fd342ff0606c4328673b93294aa.txt,3,Lines 3 & 4 have IoU=0.865 (heavy same-class overlap)
info,small_box,/workspace/data/road_anamolies_yolov8-phref-v6/test/images/Pothole_1546_jpg.rf.1a7253f42470fd23d9b9568f962348da.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/test/labels/Pothole_1546_jpg.rf.1a7253f42470fd23d9b9568f962348da.txt,3,Box area = 0.096% (typical for distant objects)
warn,aspect_ratio_outlier,/workspace/data/road_anamolies_yolov8-phref-v6/test/images/Pothole_1633_jpg.rf.a8d58acd824c4fed80df32967ee4781c.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/test/labels/Pothole_1633_jpg.rf.a8d58acd824c4fed80df32967ee4781c.txt,6,Aspect ratio = 26.9:1 (extremely stretched)
info,small_box,/workspace/data/road_anamolies_yolov8-phref-v6/test/images/Pothole_275_jpg.rf.75cd2eba39573225949009af13ee7a71.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/test/labels/Pothole_275_jpg.rf.75cd2eba39573225949009af13ee7a71.txt,6,Box area = 0.068% (typical for distant objects)
info,small_box,/workspace/data/road_anamolies_yolov8-phref-v6/test/images/Pothole_596_jpg.rf.3853e81380fa8464ceef657a77b81189.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/test/labels/Pothole_596_jpg.rf.3853e81380fa8464ceef657a77b81189.txt,6,Box area = 0.063% (typical for distant objects)
